,Average Factual Accuracy,Total Claims Evaluated,Correct Claims %,Incorrect Claims %
gpt,2.742857142857143,30.0,93.33333333333333,0.0
gpt_rag,4.288888888888888,62.0,93.54838709677419,0.0
mixtral,3.766666666666667,43.0,88.37209302325581,4.651162790697675
mixtral_rag,2.085714285714286,12.0,91.66666666666666,0.0
llama,0.9,5.0,80.0,0.0
llama_rag,3.2285714285714286,33.0,69.6969696969697,24.242424242424242
medalpaca,2.25,12.0,66.66666666666666,16.666666666666664
medalpaca_rag,3.4200000000000004,32.0,50.0,15.625
